step,max_v_liquid,max_v_solid,max_v_transition,max_rho_dev,has_nan
0,5.00000007e-02,5.00000007e-02,5.00000007e-02,0.00000000e+00,0
1,5.00000417e-02,1.00002078e-19,5.00000417e-02,1.19209290e-07,0
2,5.00000492e-02,1.00002097e-19,5.00000492e-02,1.19209290e-07,0
3,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
4,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
5,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
10,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
20,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
30,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
40,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
50,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
60,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
70,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
80,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
90,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
100,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
110,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
120,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
130,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
140,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
150,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
160,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
170,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
180,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
190,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
200,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
210,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
220,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
230,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
240,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
250,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
260,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
270,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
280,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
290,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
300,5.00000566e-02,1.00002110e-19,5.00000566e-02,1.19209290e-07,0
