type,pos,vel
vmid,0,0
vmid,0.010101,0
vmid,0.020202,0
vmid,0.030303,0
vmid,0.040404,0
vmid,0.050505,0
vmid,0.0606061,0
vmid,0.0707071,0
vmid,0.0808081,0
vmid,0.0909091,0
vmid,0.10101,0
vmid,0.111111,0
vmid,0.121212,0
vmid,0.131313,0
vmid,0.141414,0
vmid,0.151515,0
vmid,0.161616,0
vmid,0.171717,0
vmid,0.181818,0
vmid,0.191919,0
vmid,0.20202,0
vmid,0.212121,0
vmid,0.222222,0
vmid,0.232323,0
vmid,0.242424,0
vmid,0.252525,0
vmid,0.262626,0
vmid,0.272727,0
vmid,0.282828,0
vmid,0.292929,0
vmid,0.30303,0
vmid,0.313131,0
vmid,0.323232,0
vmid,0.333333,0
vmid,0.343434,0
vmid,0.353535,0
vmid,0.363636,0
vmid,0.373737,0
vmid,0.383838,0
vmid,0.393939,0
vmid,0.40404,0
vmid,0.414141,0
vmid,0.424242,0
vmid,0.434343,0
vmid,0.444444,0
vmid,0.454545,0
vmid,0.464646,0
vmid,0.474747,0
vmid,0.484848,0
vmid,0.494949,0
vmid,0.50505,0
vmid,0.515152,0
vmid,0.525253,0
vmid,0.535354,0
vmid,0.545455,0
vmid,0.555556,0
vmid,0.565657,0
vmid,0.575758,0
vmid,0.585859,0
vmid,0.59596,0
vmid,0.606061,0
vmid,0.616162,0
vmid,0.626263,0
vmid,0.636364,0
vmid,0.646465,0
vmid,0.656566,0
vmid,0.666667,0
vmid,0.676768,0
vmid,0.686869,0
vmid,0.69697,0
vmid,0.707071,0
vmid,0.717172,0
vmid,0.727273,0
vmid,0.737374,0
vmid,0.747475,0
vmid,0.757576,0
vmid,0.767677,0
vmid,0.777778,0
vmid,0.787879,0
vmid,0.79798,0
vmid,0.808081,0
vmid,0.818182,0
vmid,0.828283,0
vmid,0.838384,0
vmid,0.848485,0
vmid,0.858586,0
vmid,0.868687,0
vmid,0.878788,0
vmid,0.888889,0
vmid,0.89899,0
vmid,0.909091,0
vmid,0.919192,0
vmid,0.929293,0
vmid,0.939394,0
vmid,0.949495,0
vmid,0.959596,0
vmid,0.969697,0
vmid,0.979798,0
vmid,0.989899,0
vmid,1,0
hmid,0,0
hmid,0.010101,0
hmid,0.020202,0
hmid,0.030303,0
hmid,0.040404,0
hmid,0.050505,0
hmid,0.0606061,0
hmid,0.0707071,0
hmid,0.0808081,0
hmid,0.0909091,0
hmid,0.10101,0
hmid,0.111111,0
hmid,0.121212,0
hmid,0.131313,0
hmid,0.141414,0
hmid,0.151515,0
hmid,0.161616,0
hmid,0.171717,0
hmid,0.181818,0
hmid,0.191919,0
hmid,0.20202,0
hmid,0.212121,0
hmid,0.222222,0
hmid,0.232323,0
hmid,0.242424,0
hmid,0.252525,0
hmid,0.262626,0
hmid,0.272727,0
hmid,0.282828,0
hmid,0.292929,0
hmid,0.30303,0
hmid,0.313131,0
hmid,0.323232,0
hmid,0.333333,0
hmid,0.343434,0
hmid,0.353535,0
hmid,0.363636,0
hmid,0.373737,0
hmid,0.383838,0
hmid,0.393939,0
hmid,0.40404,0
hmid,0.414141,0
hmid,0.424242,0
hmid,0.434343,0
hmid,0.444444,0
hmid,0.454545,0
hmid,0.464646,0
hmid,0.474747,0
hmid,0.484848,0
hmid,0.494949,0
hmid,0.50505,0
hmid,0.515152,0
hmid,0.525253,0
hmid,0.535354,0
hmid,0.545455,0
hmid,0.555556,0
hmid,0.565657,0
hmid,0.575758,0
hmid,0.585859,0
hmid,0.59596,0
hmid,0.606061,0
hmid,0.616162,0
hmid,0.626263,0
hmid,0.636364,0
hmid,0.646465,0
hmid,0.656566,0
hmid,0.666667,0
hmid,0.676768,0
hmid,0.686869,0
hmid,0.69697,0
hmid,0.707071,0
hmid,0.717172,0
hmid,0.727273,0
hmid,0.737374,0
hmid,0.747475,0
hmid,0.757576,0
hmid,0.767677,0
hmid,0.777778,0
hmid,0.787879,0
hmid,0.79798,0
hmid,0.808081,0
hmid,0.818182,0
hmid,0.828283,0
hmid,0.838384,0
hmid,0.848485,0
hmid,0.858586,0
hmid,0.868687,0
hmid,0.878788,0
hmid,0.888889,0
hmid,0.89899,0
hmid,0.909091,0
hmid,0.919192,0
hmid,0.929293,0
hmid,0.939394,0
hmid,0.949495,0
hmid,0.959596,0
hmid,0.969697,0
hmid,0.979798,0
hmid,0.989899,0
hmid,1,0
