X_um,Z_um
81.5897,131.0000
83.0000,129.0148
83.0090,129.0000
85.0000,127.2759
85.2233,127.0000
87.0000,125.2330
87.2319,125.0000
89.0000,123.1227
89.1857,123.0000
91.0000,121.7993
93.0000,121.0275
93.0757,121.0000
95.0000,120.0108
97.0000,119.3720
99.0000,119.0855
101.0000,119.0855
103.0000,119.3720
105.0000,120.0108
106.9245,121.0000
107.0000,121.0274
109.0000,121.7993
110.8143,123.0000
111.0000,123.1228
112.7681,125.0000
113.0000,125.2330
114.7767,127.0000
115.0000,127.2760
116.9909,129.0000
117.0000,129.0149
118.4103,131.0000
118.9545,133.0000
119.0000,133.0719
121.0000,134.9947
121.0043,135.0000
122.4972,137.0000
123.0000,137.4032
124.4632,139.0000
127.0000,141.6926
124.8625,141.0000
125.0000,141.1494
128.2121,143.0000
128.4939,145.0000
129.0000,145.6240
130.8026,147.0000
131.0000,147.1639
132.4009,149.0000
67.5990,149.0000
69.0000,147.1639
69.1974,147.0000
71.0000,145.6239
71.5060,145.0000
71.7878,143.0000
75.0000,141.1493
75.1375,141.0000
73.0000,141.6925
75.5367,139.0000
77.0000,137.4033
77.5029,137.0000
78.9958,135.0000
79.0000,134.9948
81.0000,133.0719
81.0455,133.0000
